Region_EN,Region_ES,Subregion_EN,Subregion_ES,Country_EN,Country_ES
,,,,Bulgaria,Bulgaria
,,,,Cyprus,Chipre
,,,,Czechia,Chequia
,,,,Georgia,Georgia
,,,,Hungary,Hungría
,,,,Moldova,Moldavia
,,,,Northern Cyprus ,Chipre del Norte
,,,,Poland,Polonia
,,,,Romania,Rumania
,,,,Russia,Rusia
,,,,Slovakia,Eslovaquia
,,,,Turkey,Turquía
,,,,Ukraine,Ucrania
,,North Europe,Europa del Norte,Aland Islands,Islas Aland
,,,,Channel Islands,Islas del Canal
,,,,Denmark,Dinamarca
,,,,Estonia,Estonia
,,,,Faroe Islands,Islas Feroe
,,,,Finland,Finlandia
,,,,Greenland,Groenlandia
,,,,Iceland,Islandia
,,,,Ireland,Irlanda
,,,,Isle of Man,Isla de Man
,,,,Latvia,Letonia
,,,,Lithuania,Lituania
,,,,Norway,Noruega
,,,,Svalbard and Jan Mayen,Svalbard y Jan Mayen
,,,,Sweden,Suecia
,,,,Switzerland,Suiza
,,,,United Kingdom,Reino Unido
,,South Europe,Europa del Sur,Albania,Albania
,,,,Andorra,Andorra
,,,,Bosnia and Herzegovina,Bosnia y Herzegovina Croacia
,,,,Croatia,Croacia
,,,,Gibraltar,Gibraltar
,,,,Greece,Grecia
,,,,Italy,Italia
,,,,Kosovo,Kosovo
,,,,Malta,Malta
,,,,Montenegro,Montenegro
,,,,San Marino,San Marino
,,,,Slovenia,Eslovenia
,,,,Spain,España
,,,,Vatican City,Ciudad del Vaticano
,,,,North Macedonia,Norte Macedonia
,,,,Portugal,Portugal
,,,,Serbia,Serbia
,,West Europe,Europa Occidental,Austria,Austria
,,,,Belgium,Bélgica
,,,,France,Francia
,,,,Germany,Alemania
,,,,Liechtenstein,Liechtenstein
,,,,Luxembourg,Luxemburgo
,,,,Monaco,Mónaco
,,,,Netherlands,Países Bajos
Latin America and the Caribbean,América Latina y el Caribe,Caribbean,Caribe,Anguilla,Anguila
,,,,Antigua and Barbuda,Antigua y Barbuda
,,,,Aruba,Aruba
,,,,Bahamas,Bahamas
,,,,Barbados,Barbados
,,,,Bermuda,Bermudas
,,,,British Virgin Islands,Islas Vírgenes Británicas
,,,,Caribbean Netherlands,Caribe Neerlandés
,,,,Cayman Islands,Islas Caimán
,,,,Cuba,Cuba
,,,,Curaçao,Curazao
,,,,Dominica,Dominica
,,,,Dominican Republic,República Dominicana
,,,,Grenada,Granada
,,,,Guadeloupe,Guadalupe
,,,,Haiti,Haití
,,,,Jamaica,Jamaica
,,,,Martinique,Martinica
,,,,Montserrat,Montserrat
,,,,Puerto Rico,Puerto Rico
,,,,Saint Barthélemy,San Bartolomé
,,,,Saint Kitts and Nevis,San Cristóbal y Nieves
,,,,Saint Lucia,Santa Lucía
,,,,Saint Martin (French part),San Martín ( Parte francesa)
,,,,Saint Vincent and the Grenadines,San Vicente y las Granadinas
,,,,Sint Maarten (Dutch part),Sint Maarten (parte holandesa)
,,,,Trinidad and Tobago,Trinidad y Tobago
,,,,Turks and Caicos Islands,Islas Turcas y Caicos
,,,,United States Virgin Islands,Islas Vírgenes de los Estados Unidos
,,Central America,América Central,Belize,Belice
,,,,Costa Rica,Costa Rica
,,,,El Salvador,El Salvador el Salvador
,,,,Guatemala,Guatemala
,,,,Honduras,Honduras
,,,,Mexico,México
,,,,Nicaragua,Nicaragua
,,,,Panama,Panamá
,,South America,América del Sur,Argentina,Argentina
,,,,Bolivia,bolivia
,,,,Brazil,Brasil
,,,,Chile,Chile
,,,,Colombia,Colombia
,,,,Ecuador,Ecuador
,,,,Falkland Islands (Malvinas),Islas Malvinas (Falkland)
,,,,French Guiana,Guayana Francesa
,,,,Guyana,Guayana
,,,,Paraguay,Paraguay
,,,,Peru,Perú
,,,,Suriname,Surinam
,,,,Uruguay,Uruguay
,,,,Venezuela,Venezuela
North America,América del Norte,North America,América del Norte,Canada,Canadá
,,,,Saint Pierre and Miquelon,San Pedro y Miquelón
,,,,United States,Estados Unidos
Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,Australia,Australia
,,,,Christmas Island,Isla de Navidad
,,,,Cocos (Keeling) Islands,Islas Cocos (Keeling)
,,,,New Zealand,Nueva Zelanda
,,,,Norfolk Island,Isla Norfolk
,,Melanesia,Melanesia,Fiji,Fiyi
,,,,Papua New Guinea,Papúa Nueva Guinea
,,,,Solomon Islands,Islas Salomón
,,,,Vanuatu,Vanuatu
,,Micronesia,Micronesia,Federated States of Micronesia,Estados Federados de Micronesia
,,,,Guam,Guam
,,,,Kiribati,Kiribati
,,,,Marshall Islands,Islas Marshall
,,,,Nauru,Nauru
,,,,New Caledonia,Nueva Caledonia
,,,,Northern Mariana Islands,Islas Marianas del Norte
,,,,Palau,Palaos
,,Polynesia,Polinesia,American Samoa,Samoa Americana
,,,,Cook Islands,Islas Cook
,,,,French Polynesia,Polinesia Francesa
,,,,Niue,Niue
,,,,Pitcairn Islands,Islas Pitcairn
,,,,Samoa,Samoa
,,,,Tokelau,Tokelau
,,,,Tonga,Tonga
,,,,Tuvalu,Tuvalu
,,,,Wallis and Futuna,Wallis y Futuna
